City,Company,Location,Reviews,Salary,Summary,Title,Indeed_Estimate
Los Angeles,Honey,"Los Angeles, CA",22,148000,Helping mentor more junior data scientists on the team. We are looking for data scientists who love distributed systems and are motivated by the challenge of...,Senior Data Scientist,1
Los Angeles,Nativo,"El Segundo, CA 90245",,160000,Senior Data Scientist. The Senior Data Scientist will be part of a team responsible for designing and improving our big data and data science infrastructure....,Senior Data Scientist,1
Los Angeles,Data Based Solutions Inc.,"Sylmar, CA",,95000,Provides supporting services and tooling at the direction of senior engineers and scientists. Electrical Engineer- medical device experience....,Electrical Engineer- Medical Device Experience,1
Los Angeles,AppleOne,"Santa Monica, CA 90404",2047,120000,The Data Scientist will run test control methodologies to push predictive models. Client of AppleOne seeks to add a Data Scientist to their team in the West Los...,Data Scientist,1
Pittsburgh,Carnegie Mellon University,"Pittsburgh, PA",179,59000,"Collaborate with software engineers, learning scientists, course developers, domain experts, visual designers and usability specialists to define software...",Software Developer - Simon Initiative,0
Pittsburgh,Carnegie Mellon University,"Pittsburgh, PA",179,57500,Help with software for obtaining and processing image data. Develop plans for handling and storing data associated with projects that are scaling up their...,"Research Programmer / Analyst - Physics Department, Mellon C...",0
Pittsburgh,Oxford Solutions,"Pittsburgh, PA",9,102500,"Big Data Engineer / Oracle DBA / Data Modeling / C++ / C#. 3-5 years of experience with large scale data technologies such as big data, database technologies,...",Big Data Engineer,1
Portland,Oregon Health & Science University,"Portland, OR",347,66916,"Knowledge and proficiency in ERAS, MedHub (residency data management systems), Access and Excel. It educates health professionals and scientists and provides...",Education Manager,0
Portland,Oregon Health & Science University,"Portland, OR",347,50146,"Conducting different phases of projects, including data collection and 3-5 years of clinical trial experience....",Clinical Research Coordinator,0
Portland,Vacasa,"Portland, OR 97211 (Concordia area)",51,130500,"Experience with Data Science and/or working with Data Scientists. Interest in data science problems, and a basic knowledge of key data science concepts....","Team Lead Software Engineer: Data Products - Portland, Or",1
Portland,General Assembly,"Portland, OR",131,120500,"Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists....",Remote Data Science Instructor,1
Portland,iovation inc,"Portland, OR",,114500,Data Scientist to join our Analytics and Data Science team in evaluating and innovating fraud prevention and authentication methods....,Senior Data Scientist,1
Philadelphia,City of Philadelphia,"Philadelphia, PA",417,41696,"Positions within the Biology/Chemistry assignment prepare samples for analysis by a forensic scientist, enter forensic sample data into databases and perform...",Police Forensic Science Technician,0
Philadelphia,Workbridge Associates,"Philadelphia, PA",36,115000,Do you think about writing beautiful code while eating breakfast? Do you build applications you are proud of and want to tell your friends about? Do you get...,Machine Learning Engineer,0
Philadelphia,3coast,"Philadelphia, PA",2,200000,"Experience in data and time series analysis strongly preferred. 2+ years of professional and/or academic experience in model development, big data analysis and...",Quant Research Analyst,0
Philadelphia,Workbridge Associates,"Philadelphia, PA",36,115000,Do you think about writing beautiful code while eating breakfast? Do you build applications you are proud of and want to tell your friends about? Do you get...,Senior Machine Learning Engineer,0
Philadelphia,3coast,"Philadelphia, PA",2,100000,To manipulate data and draw insights from large data sets. Experience working with and creating data architectures....,Data Scientist,0
Philadelphia,Workbridge Associates,"Radnor, PA",36,117500,"One of the biggest professional service companies providing audit, tax and advisory services is looking to bring on a Big Data Engineer to help expand their...",Big Data Engineer,0
Philadelphia,S.C. International,"Philadelphia, PA",,100000,Advanced analytics applications and commercial data product development. You will develop and deliver innovative advanced analytics consulting assignments for...,Data Scientist,0
Philadelphia,Workbridge Associates,"Wilmington, DE",36,95000,"Working with all different types of data but all financially related, utilizing R, Python, Scala and SAS for large amounts of data in a Hadoop environment....","Data Scientist (Hadoop, Sas, R, Python)",0
Philadelphia,Department of Commerce,"Philadelphia, PA 19147 (Wharton-Hawthorne-Bella Vista area)",738,73840,Manage data collection to ensure training and observation programs are utilized to foster quality data collection techniques....,"Supervisory Survey Statistician (Regional Survey Manager), G...",0
Philadelphia,Workbridge Associates,"Wilmington, DE",36,97500,If you’re a Data Scientist ready to come in a make a huge impact apply today! 3+ years of Data Science experience. Big Data experience with Hadoop or Hive....,Data Scientist (Statistical Modeling),0
Philadelphia,Inspire,"Philadelphia, PA",9,108000,"Work with teams of engineers, product managers, and data scientists to understand requirements and formulate solutions....",Data Engineer,1
Philadelphia,Ezra Penland Actuarial Recruitment,"Philadelphia, PA",,150005,"For Position 80800W, a Philadelphia client plans to hire an FCAS / ACAS Predictive Modeling Actuary. Requires 5 to 10 years of property and casualty...",Insurance Predictive Modeling Actuary #80800W,0
Philadelphia,ThinkingAhead,"Philadelphia, PA",,90000,"Advanced experience and expertise in data extraction and analytical programming languages (SAS, SQL) and data visualization tools (Tableau) and the ability to...",Senior Healthcare Statistician And Analytics Consultant,0
Philadelphia,P&F Solutions,"Fort Washington, PA",,45000,Applying newly verified data elements to core database records. Remove incorrect data elements and database records from core databases....,Data Research Analyst,0
Philadelphia,Liberty Personnel Services,"Camden, NJ",21,125000,"My client is seeking a Data Scientist with 8+ years to join their team in a full-time capacity. The ideal candidate will be well versed in programming with R,...",Data Scientist,0
Philadelphia,Smith Hanley Associates,"Wilmington, DE",17,130000,"Statistical Risk Modeling Lead Wilmington, DE Salary: Up to 130k base Contact: Sean Murphy - smurphy@smithhanley.com The Statistical Modeling lead will be...",Statistical Risk Modeling Lead,0
Philadelphia,Chatham Group,"Philadelphia, PA 19103 (Belmont area)",,90000,The Color Scientist participates in and will eventually lead project teams of color technology users and providers....,Color Scientist,0
Philadelphia,The Franklin Company,"Philadelphia, PA 19107 (City Center East area)",13,75000,Clinical Flow Cytometry Scientist*. Sample and population level data processing and reporting. This is a great opportunity for a Cytometry Scientist with a...,Clinical Flow Cytometry Scientist,0
Philadelphia,Smith Hanley Associates,"Philadelphia, PA",17,135000,Senior Data Scientist. Senior Data Scientist Overview:. Seeking a Senior Data Scientist to tackle difficult data problems and deliver the most scalable...,Senior Data Scientist,0
Philadelphia,Cardone,"Philadelphia, PA 19124 (Juniata Park-Feltonville area)",18,110000,"Locate new and diverse data sources, analyze statistics, perform data studies, and implement quality procedures....",Senior Data Scientist,1
Philadelphia,"ICON Clinical Research, Inc.","North Wales, PA",,138500,"Work collaboratively with colleagues in other departments, including Project Management, Data Management, Regulatory Affairs, and Biostatistics to develop and...",Data Scientist/Senior Statistician,1
Houston,MD Anderson Cancer Center,"Houston, TX",495,74500,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",Statistical Analyst - Biostatistics,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,85500,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",Research Statistical Analyst - Biostatistics,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,106250,Design and guide the activities of other scientists to maximize productivity and impact. Assist in the integration of data to identify genes/pathways pertinent...,Institute Research Investigator - Target Discovery And Valid...,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,185750,"Coordinate, direct and lead a team of successful internal and external ADME/PK and analytical scientists. Monitor assay quality and data release and capture,...",Institute Group Leader - Drug Metabolism And Pharmacokinetic...,0
Houston,Baylor College of Medicine,"Houston, TX",351,53000,Supports one board/month and corresponding Institutional Review Board (IRB) or Data Safety and Monitoring Board (DSMB) or Institutional Animal Care and Use...,Senior Research Subject Protection Analyst,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,122500,Work with research and bioinformatics teams to utilize internal biological and oncogenomic data sets to generate and test biological hypotheses....,Institute Research Scientist - Translational Biology,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,122500,Experience mentoring junior scientists is a plus. Work with research and bioinformatics teams to utilize internal biological and oncogenomic data sets to...,Institute Research Scientist – Target Biology,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,161000,Analyze data generated by various studies and leverage results for the design of future studies. We are seeking an experienced preclinical development scientist...,Principal Institute Research Scientist – Preclinical Develop...,0
Houston,SymbaSync,"Houston, TX",,135000,A company on SymbaSync is hiring a Data Scientist. You will be working alongside other data scientists and project managers to help deliver data-driven insights...,Data Scientist - Houston,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,66500,"The mission of The University of Texas M. D. Anderson Cancer Center is to eliminate cancer in Texas, the nation, and the world through outstanding programs...",Research Scientist - Genetics,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,66500,"Assigns and reviews work of subordinates, determines specific goals or objectives to be attained, evaluates resulting research data and revises techniques or...",Research Scientist - Cancer Biology,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,63000,"Assemble data from special financials statements and other reports. During the annual budget process, assist with projections for revenue and expenses by...",Accountant Ii - Investigational Cancer Therapeutics,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,66500,"Ability to design independent experiments to address a scientific question, analyze data, and understand the final results and utilize them to plan future...",Research Scientist - Radiation Oncology - Research,0
Houston,Baylor College of Medicine,"Houston, TX",351,65000,"The Research Scientist position is well suited for post-doctoral, career scientists who are not yet ready to transition to a full time professional or tenure...",Senior Staff Scientist,0
Houston,Baylor College of Medicine,"Houston, TX",351,60000,"Expected to be able to trouble shoot experiments, perform data analysis and summarize data for presentation at meetings and for publication Is expected to...",Staff Scientist,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,52000,Serve as liaison between Interventional Radiology and Data Imaging to verify and confirm services and approve for IDT payment transfer....,Accountant Ii - Melanoma Medical Oncolgy,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,84000,Reads printed and written data and assimilates pertinent information in order to communicate in written correspondence....,"Administrative Director, Research Program - Radiation Oncolo...",0
Houston,MD Anderson Cancer Center,"Houston, TX",495,66500,"Reviews, evaluates and correlates research data. Prepares data and information related to protocols, grants, abstracts, and manuscript submissions....",Clinical Research Scientist - Surgical Oncology Research,0
Houston,MD Anderson Cancer Center,"Houston, TX",495,161000,"Evidence of leading multi-functional teams of scientists to deliver on program objectives. Strong data analysis skills, ability to interpret results, design of...","Principal Institute Research Scientist - Drug Discovery, Bio...",0
Houston,Prism Genomic Medicine Inc.,"Houston, TX",,65000,"Analyze data using statistical software. Gather data about consumers, competitors, and marketing conditions. Strong work ethic and passion for working with data...",Market Research Analyst,0
